Array Name,Memory Name,Port 1 Dimension / Map,Port 2 Dimension / Map,Primitive,Available Bits,Used Bits,Bit Util%,A Depth,A Depth Avail,A Depth Util%,A Width,A Width Avail,A Width Util%,B Depth,B Depth Avail,B Depth Util%,B Width,B Width Avail,B Width Util%,Port A Type,Port A Requirement (ns),Port B Type,Port B Requirement (ns),A Cascade,IREG_A,OREG_A,DOA_REG, B Cascade,IREG_B,OREG_B,DOB_REG,Port A PowerGated, Port A Enable, Port A WRITE_MODE, A Cascade, Port B PowerGated, Port B Enable,Port B WRITE_MODE, B Cascade
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_17,A:A:2048x18,,RAMB36E2,36864,36864,100,2048,2048,100,18,18,100,,,,,,,Read / Write,20,,,FIRST,,,0,,,,,,SIGNAL,READ_FIRST,FIRST,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_18,A:A:2048x18,,RAMB36E2,36864,36864,100,2048,2048,100,18,18,100,,,,,,,Read / Write,20,,,MIDDLE,,,0,,,,,,SIGNAL,READ_FIRST,MIDDLE,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_19,A:A:2048x18,,RAMB36E2,36864,36864,100,2048,2048,100,18,18,100,,,,,,,Read / Write,20,,,MIDDLE,,,0,,,,,,SIGNAL,READ_FIRST,MIDDLE,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_20,A:A:2048x18,,RAMB36E2,36864,36864,100,2048,2048,100,18,18,100,,,,,,,Read / Write,20,,,MIDDLE,,,0,,,,,,SIGNAL,READ_FIRST,MIDDLE,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_21,A:A:2048x18,,RAMB36E2,36864,36864,100,2048,2048,100,18,18,100,,,,,,,Read / Write,20,,,MIDDLE,,,0,,,,,,SIGNAL,READ_FIRST,MIDDLE,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_22,A:A:2048x18,,RAMB36E2,36864,36864,100,2048,2048,100,18,18,100,,,,,,,Read / Write,20,,,MIDDLE,,,0,,,,,,SIGNAL,READ_FIRST,MIDDLE,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_23,A:A:2048x18,,RAMB36E2,36864,36864,100,2048,2048,100,18,18,100,,,,,,,Read / Write,20,,,MIDDLE,,,0,,,,,,SIGNAL,READ_FIRST,MIDDLE,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_24,A:A:2048x18,,RAMB36E2,36864,36864,100,2048,2048,100,18,18,100,,,,,,,Read / Write,20,,,LAST,,,1,,,,,,SIGNAL,READ_FIRST,LAST,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_25,A:A:4096x9,,RAMB36E2,36864,36864,100,4096,4096,100,9,9,100,,,,,,,Read / Write,20,,,FIRST,,,0,,,,,,SIGNAL,READ_FIRST,FIRST,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_26,A:A:4096x9,,RAMB36E2,36864,36864,100,4096,4096,100,9,9,100,,,,,,,Read / Write,20,,,MIDDLE,,,0,,,,,,SIGNAL,READ_FIRST,MIDDLE,,,,,
